BOWLING_ODIs_Mat,BOWLING_ODIs_Balls,BOWLING_ODIs_Runs,BOWLING_ODIs_Wkts,BOWLING_ODIs_Ave,BOWLING_ODIs_Econ,BOWLING_ODIs_SR,BOWLING_ODIs_4w,BOWLING_ODIs_5w,BATTING_ODIs_Mat,BATTING_ODIs_NO,BATTING_ODIs_Runs,BATTING_ODIs_HS,BATTING_ODIs_Ave,BATTING_ODIs_BF,BATTING_ODIs_SR,BATTING_ODIs_100,BATTING_ODIs_50,BATTING_ODIs_4s,BATTING_ODIs_6s,BATTING_ODIs_Ct,BATTING_ODIs_St,Playing role,NAME,COUNTRY,ID
4.0,204,185,4,46.25,5.44,51,0,0,4.0,0,1,1,1,2,50,0,0,0,0,1.0,0.0,Bowler,Graham Onions,England,18389
28.0,1536,959,51,18.8,3.74,30.1,2,1,28.0,6,41,15,6.83,45,91.11,0,0,5,1,3,0,Bowler,Mujeeb Ur Rahman,Afghanistan,974109
2.0,-,-,-,-,-,-,-,-,2.0,-,-,-,-,-,-,-,-,-,-,2,0,Batsman,Mohibullah Oryakhel,Afghanistan,524044
79.0,-,-,-,-,-,-,-,-,79.0,3,2562,131*,33.71,2898,88.4,5,13,299,54,59,25,Wicketkeeper batsman,Mohammad Shahzad,Afghanistan,419873
111.0,5279,3747,118,31.75,4.25,44.7,2,0,111.0,11,2565,116,29.14,2942,87.18,1,13,159,83,50,0,Allrounder,Mohammad Nabi,Afghanistan,25913
46.0,2009,1360,46,29.56,4.06,43.6,1,0,46.0,11,387,52*,14.33,543,71.27,0,1,22,16,8,0,Bowler,Mirwais Ashraf,Afghanistan,387420
47.0,-,-,-,-,-,-,-,-,47.0,1,1148,114,25.51,1810,63.42,1,7,122,4,15,0,Opening batsman,Noor Ali Zadran,Afghanistan,318340
2.0,-,-,-,-,-,-,-,-,2.0,0,12,12,6,58,20.68,0,0,0,0,1,0,Middle-order batsman,Noor-ul-Haq,Afghanistan,307652
49.0,293,235,8,29.37,4.81,36.6,0,0,49.0,6,1139,129,27.11,1512,75.33,2,4,99,27,19,0,Top-order batsman,Nawroz Mangal,Afghanistan,318334
2.0,110,111,2,55.5,6.05,55,0,0,2.0,1,0,0*,-,1,0,0,0,0,0,2,0,Bowler,Naveen-ul-Haq,Afghanistan,793447
16.0,6,7,0,-,7,-,0,0,16.0,1,352,53,27.07,537,65.54,0,3,25,1,4,0,Middle-order batsman,Nasir Jamal,Afghanistan,524048
54.0,30,30,0,-,6,-,0,0,54.0,8,1210,104*,28.8,1372,88.19,1,8,91,49,31,0,Middle-order batsman,Najibullah Zadran,Afghanistan,524049
1.0,-,-,-,-,-,-,-,-,1.0,0,5,5,5,18,27.77,0,0,0,0,0,0,Opening batsman,Najeeb Tarakai,Afghanistan,533953
1.0,60,45,2,22.5,4.5,30,0,0,1.0,-,-,-,-,-,-,-,-,-,-,1,0,Bowler,Rokhan Barakzai,Afghanistan,793907
57.0,2833,1845,123,15,3.9,23,4,4,57.0,9,782,60*,23.69,776,100.77,0,4,70,22,18,0,Bowler,Rashid Khan,Afghanistan,793463
58.0,416,410,12,34.16,5.91,34.6,0,1,58.0,2,1822,114,35.03,2608,69.86,3,13,146,20,13,0,Allrounder,Rahmat Shah,Afghanistan,533956
5.0,24,16,0,-,4,-,0,0,5.0,1,88,39,29.33,137,64.23,0,0,8,0,2,0,Middle-order batsman,Raees Ahmadzai,Afghanistan,320284
14.0,596,414,12,34.5,4.16,49.6,0,0,14.0,3,53,21,8.83,84,63.09,0,0,2,2,2,0,Allrounder,Sharafuddin Ashraf,Afghanistan,633362
44.0,1983,1589,43,36.95,4.8,46.1,2,0,44.0,17,67,17,6.7,160,41.87,0,0,5,3,5,0,Bowler,Shapoor Zadran,Afghanistan,319746
24.0,-,-,-,-,-,-,-,-,24.0,2,430,56,22.63,408,105.39,0,2,27,24,11,3,Wicketkeeper batsman,Shafiqullah,Afghanistan,362603
10.0,-,-,-,-,-,-,-,-,10.0,0,191,94,19.1,300,63.66,0,1,21,3,6,0,Middle-order batsman,Shabir Noori,Afghanistan,307653
1.0,-,-,-,-,-,-,-,-,1.0,-,-,-,-,-,-,-,-,-,-,-,-,Bowler,Sayed Shirzad,Afghanistan,524050
81.0,2063,1698,45,37.73,4.93,45.8,1,0,81.0,10,1737,96,28.47,2673,64.98,0,11,133,25,21,0,Allrounder,Samiullah Shinwari,Afghanistan,318339
15.0,38,34,1,34,5.36,38,0,0,15.0,0,411,118,27.4,520,79.03,1,2,37,10,3,0,Opening batsman,Usman Ghani,Afghanistan,711559
3.0,108,90,2,45,5,54,0,0,3.0,1,3,3*,3,19,15.78,0,0,0,0,2,0,Bowler,Yamin Ahmadzai,Afghanistan,440968
1.0,24,27,0,-,6.75,-,0,0,1.0,1,3,3*,-,22,13.63,0,0,0,0,0,0,Bowler,Zakiullah Zaki,Afghanistan,307657
1.0,60,55,2,27.5,5.5,30,0,0,1.0,-,-,-,-,-,-,-,-,-,-,0,0,Bowler,Zahir Khan,Afghanistan,712219
5.0,210,146,8,18.25,4.17,26.2,1,0,5.0,1,7,6*,3.5,27,25.92,0,0,1,0,1,0,Bowler,Izatullah Dawlatzai,Germany,402247
99.0,139,91,3,30.33,3.92,46.3,0,0,99.0,8,2013,101,23.68,3120,64.51,1,11,138,50,21,0,Middle-order batsman,Asghar Afghan,Afghanistan,320652
31.0,1552,1016,40,25.4,3.92,38.8,1,0,31.0,9,23,7,3.28,94,24.46,0,0,0,1,10,0,Bowler,Amir Hamza,Afghanistan,402245
1.0,6,12,0,-,12,-,0,0,1.0,0,2,2,2,10,20,0,0,0,0,0,0,Opening batsman,Ahmed Shah,Afghanistan,318337
21.0,987,797,31,25.7,4.84,31.8,1,0,21.0,8,61,16*,12.2,88,69.31,0,0,5,3,6,0,Bowler,Aftab Alam,Afghanistan,440963
