BOWLING_ODIs_Mat,BOWLING_ODIs_Balls,BOWLING_ODIs_Runs,BOWLING_ODIs_Wkts,BOWLING_ODIs_Ave,BOWLING_ODIs_Econ,BOWLING_ODIs_SR,BOWLING_ODIs_4w,BOWLING_ODIs_5w,BATTING_ODIs_Mat,BATTING_ODIs_NO,BATTING_ODIs_Runs,BATTING_ODIs_HS,BATTING_ODIs_Ave,BATTING_ODIs_BF,BATTING_ODIs_SR,BATTING_ODIs_100,BATTING_ODIs_50,BATTING_ODIs_4s,BATTING_ODIs_6s,BATTING_ODIs_Ct,BATTING_ODIs_St,Playing role,NAME,COUNTRY,ID
78.0,-,-,-,-,-,-,-,-,78.0,2,2434,144,32.02,3423,71.1,4,16,238,37,21.0,0.0,Opening batsman,Imrul Kayes,Bangladesh,280734
54.0,12,13,0,-,6.5,-,0,0,54.0,1,1196,100,23,1753,68.22,1,6,118,7,23.0,0.0,Top-order batsman,Junaid Siddique,Bangladesh,55946
3.0,114,114,4,28.5,6,28.5,0,0,3.0,0,5,5,5,9,55.55,0,0,1,0,1.0,0.0,Bowler,Jubair Hossain,Bangladesh,629066
59.0,-,-,-,-,-,-,-,-,59.0,4,1312,85*,23.85,2528,51.89,0,10,139,5,12.0,0.0,Opening batsman,Javed Omar,Bangladesh,55935
14.0,-,-,-,-,-,-,-,-,14.0,1,270,53,22.5,371,72.77,0,1,25,2,7.0,0.0,Middle-order batsman,Jahurul Islam,Bangladesh,55944
35.0,1378,942,30,31.4,4.1,45.9,0,0,35.0,7,138,23,6.57,380,36.31,0,0,14,0,4.0,0.0,Bowler,Jahanara Alam,Bangladesh,343649
30.0,1411,820,42,19.52,3.48,33.5,2,1,30.0,9,44,7,5.5,141,31.2,0,0,2,0,8.0,0.0,Bowler,Khadija Tul Kubra,Bangladesh,535871
43.0,2128,1672,77,21.71,4.71,27.6,2,3,43.0,15,57,18*,9.5,113,50.44,0,0,6,0,8.0,0.0,Bowler,Mustafizur Rahman,Bangladesh,330902
201.0,-,-,-,-,-,-,-,-,201.0,31,5392,144,34.56,6958,77.49,6,32,430,74,164.0,42.0,Wicketkeeper batsman,Mushfiqur Rahim,Bangladesh,56029
5.0,198,147,4,36.75,4.45,49.5,0,0,5.0,1,26,8,6.5,75,34.66,0,0,0,0,1.0,0.0,Allrounder,Mosharraf Hossain,Bangladesh,56017
24.0,542,454,11,41.27,5.02,49.2,0,0,24.0,9,341,50*,31,436,78.21,0,1,36,6,9.0,0.0,Middle-order batsman,Mosaddek Hossain,Bangladesh,550133
28.0,234,190,7,27.14,4.87,33.4,0,0,28.0,1,557,60,22.28,749,74.36,0,3,60,1,4.0,0.0,Middle-order batsman,Mominul Haque,Bangladesh,373696
10.0,420,373,7,53.28,5.32,60,0,0,10.0,1,175,50,29.16,250,70,0,1,12,2,1.0,0.0,Bowling allrounder,Mohammad Saifuddin,Bangladesh,629070
125.0,6414,4739,125,37.91,4.43,51.3,3,1,125.0,17,1191,77,13.38,1663,71.61,0,2,110,29,28.0,0.0,Allrounder,Mohammad Rafique,Bangladesh,55973
15.0,-,-,-,-,-,-,-,-,15.0,2,360,63,32.72,481,74.84,0,4,31,8,5.0,0.0,Top-order batsman,Mohammad Mithun,Bangladesh,269237
27.0,-,-,-,-,-,-,-,-,27.0,1,508,121,19.53,637,79.74,1,1,57,6,15.0,3.0,Wicketkeeper batsman,Liton Das,Bangladesh,536936
22.0,469,283,13,21.76,3.62,36,1,0,22.0,2,333,52,16.65,623,53.45,0,1,28,0,10.0,0.0,Allrounder,Lata Mondal,Bangladesh,346295
177.0,697,661,18,36.72,5.69,38.7,0,0,177.0,13,3468,109,22.23,4947,70.1,3,20,354,29,35.0,0.0,Middle-order batsman,Mohammad Ashraful,Bangladesh,55988
18.0,253,214,4,53.5,5.07,63.2,0,0,18.0,0,276,54,17.25,642,42.99,0,1,24,0,7.0,0.0,Batsman,Mehrab Hossain jnr,Bangladesh,56031
25.0,1243,912,26,35.07,4.4,47.8,1,0,25.0,2,291,51,20.78,405,71.85,0,1,27,3,7.0,0.0,Allrounder,Mehidy Hasan,Bangladesh,629063
205.0,10249,8214,259,31.71,4.8,39.5,7,1,205.0,26,1752,51*,14.01,2002,87.51,0,1,149,59,58.0,0.0,Bowler,Mashrafe Mortaza,Bangladesh,56007
171.0,4066,3501,76,46.06,5.16,53.5,0,0,171.0,38,3673,128*,33.39,4857,75.62,3,20,293,48,57.0,0.0,Allrounder,Mahmudullah,Bangladesh,56025
5.0,222,280,7,40,7.56,31.7,0,0,5.0,0,81,59,40.5,71,114.08,0,1,3,4,1.0,0.0,Bowler,Mahbubul Alam,Bangladesh,56032
2.0,-,-,-,-,-,-,-,-,2.0,0,68,44,34,70,97.14,0,0,4,2,2.0,1.0,Allrounder,Nurul Hasan,Bangladesh,410765
19.0,-,-,-,-,-,-,-,-,19.0,3,302,59*,23.23,699,43.2,0,1,25,1,6.0,6.0,Wicketkeeper batsman,Nigar Sultana,Bangladesh,924177
5.0,264,224,5,44.8,5.09,52.8,0,0,5.0,0,7,7,7,13,53.84,0,0,0,0,2.0,0.0,Bowler,Nazmul Islam,Bangladesh,446810
3.0,-,-,-,-,-,-,-,-,3.0,0,20,7,6.66,45,44.44,0,0,0,0,2.0,0.0,Middle-order batsman,Najmul Hossain Shanto,Bangladesh,629058
38.0,1649,1386,44,31.5,5.04,37.4,1,0,38.0,13,35,6*,4.37,128,27.34,0,0,0,0,6.0,0.0,Bowler,Nazmul Hossain,Bangladesh,56056
11.0,-,-,-,-,-,-,-,-,11.0,0,147,47,13.36,237,62.02,0,0,18,2,1.0,0.0,Batsman,Nazimuddin,Bangladesh,56059
65.0,1256,988,24,41.16,4.71,52.3,0,0,65.0,8,1281,100,29.11,1605,79.81,1,6,112,15,34.0,0.0,Allrounder,Nasir Hossain,Bangladesh,300618
29.0,1094,904,10,90.4,4.95,109.4,0,0,29.0,2,488,47,19.52,771,63.29,0,0,42,5,7.0,0.0,Allrounder,Naimur Rahman,Bangladesh,56035
59.0,1743,1407,35,40.2,4.84,49.8,0,0,59.0,15,975,84,27.08,1473,66.19,0,5,84,13,19.0,0.0,Allrounder,Naeem Islam,Bangladesh,56054
36.0,1599,956,39,24.51,3.58,41,1,0,36.0,3,768,75,24,1444,53.18,0,4,71,1,10.0,0.0,Allrounder,Rumana Ahmed,Bangladesh,343648
96.0,4288,4019,122,32.94,5.62,35.1,7,1,96.0,23,123,17,4.73,226,54.42,0,0,12,2,17.0,0.0,Bowler,Rubel Hossain,Bangladesh,300619
3.0,133,117,2,58.5,5.27,66.5,0,0,3.0,1,0,0*,-,1,0,0,0,0,0,0.0,0.0,Bowler,Robiul Islam,Bangladesh,227455
3.0,150,79,5,15.8,3.16,30,0,0,3.0,0,19,19,19,24,79.16,0,0,3,0,0.0,0.0,Bowler,Sunzamul Islam,Bangladesh,380974
41.0,132,123,1,123,5.59,132,0,0,41.0,3,1274,127*,34.43,1292,98.6,2,7,147,33,20.0,0.0,Middle-order batsman,Soumya Sarkar,Bangladesh,436677
17.0,762,572,14,40.85,4.5,54.4,0,0,17.0,3,98,20*,14,135,72.59,0,0,9,1,9.0,0.0,Bowler,Sohrawordi Shuvo,Bangladesh,56138
20.0,919,722,22,32.81,4.71,41.7,1,0,20.0,4,184,30,15.33,213,86.38,0,0,18,4,7.0,0.0,Bowler,Sohag Gazi,Bangladesh,444135
55.0,-,-,-,-,-,-,-,-,55.0,7,1308,89,27.82,2133,61.32,0,8,102,8,18.0,0.0,Batsman,Raqibul Hasan,Bangladesh,56093
4.0,12,9,0,-,4.5,-,0,0,4.0,1,70,35*,35,86,81.39,0,0,9,0,0.0,0.0,Batting allrounder,Shuvagata Hom,Bangladesh,402992
12.0,-,-,-,-,-,-,-,-,12.0,0,88,22,7.33,238,36.97,0,0,8,0,2.0,0.0,Top-order batsman,Sharmin Sultana,Bangladesh,924179
195.0,9899,7333,247,29.68,4.44,40,8,1,195.0,24,5577,134*,35.07,6863,81.26,7,40,504,38,45.0,0.0,Allrounder,Shakib Al Hasan,Bangladesh,56143
10.0,6,13,0,-,13,-,0,0,10.0,0,266,96,26.6,350,76,0,2,23,9,3.0,0.0,Opening batsman,Shamsur Rahman,Bangladesh,56154
5.0,-,-,-,-,-,-,-,-,5.0,0,102,53,20.4,213,47.88,0,1,12,1,1.0,3.0,Wicketkeeper,Shamima Sultana,Bangladesh,535870
75.0,-,-,-,-,-,-,-,-,75.0,5,2201,123*,31.44,3167,69.49,4,13,277,7,13.0,0.0,Top-order batsman,Shahriar Nafees,Bangladesh,56153
51.0,2198,2143,47,45.59,5.84,46.7,0,0,51.0,17,79,16*,7.9,151,52.31,0,0,7,1,5.0,0.0,Bowler,Shahadat Hossain,Bangladesh,56149
56.0,2342,2294,63,36.41,5.87,37.1,4,0,56.0,11,126,24*,6.3,221,57.01,0,0,13,2,8.0,0.0,Bowler,Shafiul Islam,Bangladesh,288305
14.0,6,12,0,-,12,-,0,0,14.0,0,154,35,11.84,379,40.63,0,0,14,0,3.0,0.0,Top-order batsman,Sanjida Islam,Bangladesh,535869
32.0,1317,785,32,24.53,3.57,41.1,0,0,32.0,3,358,75*,13.25,697,51.36,0,1,32,0,7.0,0.0,Allrounder,Salma Khatun,Bangladesh,301603
2.0,-,-,-,-,-,-,-,-,2.0,0,15,11,7.5,46,32.6,0,0,0,0,0.0,0.0,Top-order batsman,Sajjad Ahmed,Bangladesh,56096
57.0,278,313,3,104.33,6.75,92.6,0,0,57.0,5,1212,102,26.34,1322,91.67,1,5,138,24,30.0,0.0,Middle-order batsman,Sabbir Rahman,Bangladesh,373538
32.0,1413,1401,45,31.13,5.94,31.4,2,1,32.0,6,41,14,4.1,99,41.41,0,0,2,0,7.0,0.0,Bowler,Taskin Ahmed,Bangladesh,538506
2.0,60,67,0,-,6.7,-,0,0,2.0,0,5,3,2.5,16,31.25,0,0,0,0,1.0,0.0,Middle-order batsman,Tanbir Hayder,Bangladesh,421892
189.0,6,13,0,-,13,-,0,0,189.0,8,6460,154,36.08,8290,77.92,11,44,705,82,48.0,0.0,Opening batsman,Tamim Iqbal,Bangladesh,56194
4.0,222,151,5,30.2,4.08,44.4,1,0,4.0,0,21,11,10.5,40,52.5,0,0,2,0,1.0,0.0,Bowler,Taijul Islam,Bangladesh,401057
13.0,390,301,10,30.1,4.63,39,0,1,13.0,0,124,41,11.27,110,112.72,0,0,13,6,5.0,0.0,Allrounder,Ziaur Rahman,Bangladesh,56167
5.0,112,80,2,40,4.28,56,0,0,5.0,0,71,27,14.2,153,46.4,0,0,7,0,1.0,0.0,Batsman,Duncan Allan,Kenya,472153
5.0,180,151,3,50.33,5.03,60,0,0,5.0,0,122,47,24.4,124,98.38,0,0,16,1,2.0,0.0,Bowler,Rajesh Bhudia,Kenya,24773
1.0,-,-,-,-,-,-,-,-,1.0,0,1,1,1,23,4.34,0,0,0,0,0.0,0.0,Opening batsman,Gurdeep Singh,Kenya,637496
2.0,78,60,1,60,4.61,78,0,0,2.0,1,17,10,17,14,121.42,0,0,1,0,0.0,0.0,Opening batsman,Runish Gudhka,Kenya,494133
2.0,-,-,-,-,-,-,-,-,2.0,0,7,6,3.5,45,15.55,0,0,0,0,2.0,0.0,Batsman,Dhiren Gondaria,Kenya,529349
9.0,-,-,-,-,-,-,-,-,9.0,0,396,112,44,522,75.86,2,1,39,0,8.0,1.0,Middle-order batsman,Irfan Karim,Kenya,348016
86.0,2619,2169,48,45.18,4.96,54.5,1,0,86.0,11,1055,74,17.29,1685,62.61,0,3,92,15,20.0,0.0,Bowler,Jimmy Kamande,Kenya,24697
42.0,9,12,1,12,8,9,0,0,42.0,7,1128,72,34.18,1534,73.53,0,8,84,7,16.0,0.0,Middle-order batsman,Tanmay Mishra,Kenya,24790
14.0,569,431,12,35.91,4.54,47.4,0,0,14.0,3,68,28,7.55,119,57.14,0,0,3,2,0.0,0.0,Bowler,Shem Ngoche,Kenya,308515
17.0,878,569,20,28.45,3.88,43.9,0,0,17.0,4,35,21*,5,85,41.17,0,0,1,1,6.0,0.0,Bowler,James Ngoche,Kenya,308691
80.0,-,-,-,-,-,-,-,-,80.0,5,1501,61,20.84,2525,59.44,0,7,140,5,48.0,10.0,Wicketkeeper batsman,Morris Ouma,Kenya,24750
4.0,6,2,0,-,2,-,0,0,4.0,0,16,8,4,68,23.52,0,0,0,0,2.0,0.0,Batsman,Francis Otieno,Kenya,24770
26.0,954,927,22,42.13,5.83,43.3,1,0,26.0,7,49,11,4.9,136,36.02,0,0,4,0,7.0,0.0,Bowler,Elijah Otieno,Kenya,293031
79.0,3102,2350,78,30.12,4.54,39.7,1,1,79.0,19,391,36,9.09,621,62.96,0,0,24,10,17.0,0.0,Bowler,Peter Ongondo,Kenya,24762
2.0,96,79,5,15.8,4.93,19.2,0,0,2.0,1,6,5*,6,6,100,0,0,1,0,1.0,0.0,Bowler,Lucas Oluoch,Kenya,440162
69.0,2808,2585,70,36.92,5.52,40.1,1,0,69.0,9,528,66,12,737,71.64,0,1,47,12,7.0,0.0,Bowler,Nehemiah Odhiambo,Kenya,238612
8.0,318,256,8,32,4.83,39.7,0,0,8.0,0,56,29,9.33,121,46.28,0,0,3,0,1.0,0.0,Bowler,Nelson Odhiambo,Kenya,308418
74.0,-,-,-,-,-,-,-,-,74.0,3,1355,93,19.35,2135,63.46,0,6,152,12,39.0,5.0,Top-order batsman,David Obuya,Kenya,24760
104.0,1818,1637,35,46.77,5.4,51.9,0,1,104.0,9,2044,98*,25.55,2981,68.56,0,11,160,30,43.0,0.0,Allrounder,Collins Obuya,Kenya,24752
49.0,-,-,-,-,-,-,-,-,49.0,2,1306,96*,30.37,1764,74.03,0,9,127,39,15.0,0.0,Opening batsman,Alex Obanda,Kenya,291844
39.0,168,135,2,67.5,4.82,84,0,0,39.0,4,621,92,20.03,978,63.49,0,2,56,7,18.0,0.0,Wicketkeeper batsman,Rakep Patel,Kenya,267455
1.0,60,28,0,-,2.8,-,0,0,1.0,-,-,-,-,-,-,-,-,-,-,0.0,0.0,Bowler,Emmanuel Bundi,Kenya,475816
1.0,24,32,0,-,8,-,0,0,1.0,0,8,8,8,8,100,0,0,2,0,0.0,0.0,Opening batsman,Asif Iqbal,United Arab Emirates,39898
12.0,199,162,4,40.5,4.88,49.7,0,0,12.0,0,325,92,27.08,337,96.43,0,2,38,9,6.0,0.0,Top-order batsman,Ashfaq Ahmed,United Arab Emirates,1125866
63.0,2951,2048,68,30.11,4.16,43.3,2,0,63.0,17,252,34,12,489,51.53,0,0,11,1,15.0,0.0,Bowler,Hiren Varaiya,Kenya,254114
15.0,618,608,9,67.55,5.9,68.6,0,0,15.0,1,239,56,19.91,267,89.51,0,1,27,9,8.0,0.0,Allrounder,Amjad Javed,United Arab Emirates,25613
17.0,-,-,-,-,-,-,-,-,17.0,0,520,98,30.58,680,76.47,0,3,71,2,11.0,1.0,Batsman,Amjad Ali,United Arab Emirates,39745
9.0,449,382,11,34.72,5.1,40.8,0,0,9.0,3,31,24*,10.33,73,42.46,0,0,1,1,4.0,0.0,Bowler,Amir Hayat,United Arab Emirates,1126253
1.0,12,22,0,-,11,-,0,0,1.0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,Middle-order batsman,Aman Ali,United Arab Emirates,319613
1.0,-,-,-,-,-,-,-,-,1.0,0,1,1,1,3,33.33,0,0,0,0,0.0,0.0,Middle-order batsman,Alawi Shukri,United Arab Emirates,332921
25.0,1325,914,25,36.56,4.13,53,1,0,25.0,4,232,50,12.88,418,55.5,0,1,21,2,10.0,0.0,Bowler,Ahmed Raza,United Arab Emirates,245490
18.0,-,-,-,-,-,-,-,-,18.0,4,330,57*,27.5,409,80.68,0,1,27,1,4.0,0.0,Middle-order batsman,Adnan Mufti,United Arab Emirates,281653
10.0,-,-,-,-,-,-,-,-,10.0,0,205,66,20.5,304,67.43,0,2,26,0,2.0,0.0,Opening batsman,Andri Berenger,United Arab Emirates,384817
2.0,-,-,-,-,-,-,-,-,2.0,0,14,14,7,48,29.16,0,0,0,0,2.0,0.0,Batsman,Indika Batuwitarachchi,United Arab Emirates,48321
8.0,-,-,-,-,-,-,-,-,8.0,0,138,65,17.25,282,48.93,0,1,13,1,2.0,0.0,Opening batsman,Chirag Suri,United Arab Emirates,534734
5.0,198,153,6,25.5,4.63,33,0,1,5.0,2,84,40*,42,139,60.43,0,0,6,1,2.0,0.0,Bowler,Shaukat Dukanwala,United Arab Emirates,25534
1.0,-,-,-,-,-,-,-,-,1.0,0,5,5,5,13,38.46,0,0,0,0,0.0,0.0,Batsman,Nizel Fernandes,United Arab Emirates,334946
3.0,162,121,0,-,4.48,-,0,0,3.0,2,47,37*,47,100,47,0,0,6,0,0.0,0.0,Allrounder,Fayyaz Ahmed,United Arab Emirates,40170
2.0,-,-,-,-,-,-,-,-,2.0,0,2,2,1,10,20,0,0,0,0,0.0,0.0,Allrounder,Fahad Nawaz,United Arab Emirates,1126002
5.0,224,202,6,33.66,5.41,37.3,0,0,5.0,0,0,0,0,7,0,0,0,0,0,0.0,0.0,Bowler,Fahad Alhashmi,United Arab Emirates,220521
19.0,-,-,-,-,-,-,-,-,19.0,0,424,90,22.31,671,63.18,0,3,45,3,28.0,2.0,Wicketkeeper batsman,Ghulam Shabber,United Arab Emirates,950303
1.0,30,23,0,-,4.6,-,0,0,1.0,0,2,2,2,5,40,0,0,0,0,0.0,0.0,Bowler,Irfan Sajid,United Arab Emirates,741143
16.0,828,706,30,23.53,5.11,27.6,2,0,16.0,6,44,18*,11,100,44,0,0,2,0,4.0,0.0,Bowler,Imran Haider,United Arab Emirates,943275
12.0,418,431,7,61.57,6.18,59.7,0,0,12.0,2,134,43,16.75,274,48.9,0,0,12,1,5.0,0.0,Allrounder,Krishna Chandran,United Arab Emirates,290645
16.0,498,432,12,36,5.2,41.5,1,0,16.0,2,582,132*,41.57,725,80.27,1,3,59,2,6.0,0.0,Top-order batsman,Khurram Khan,United Arab Emirates,25589
4.0,222,209,7,29.85,5.64,31.7,0,0,4.0,1,22,13,11,25,88,0,0,1,1,1.0,0.0,Bowler,Kamran Shazad,United Arab Emirates,623104
3.0,-,-,-,-,-,-,-,-,3.0,0,36,23,12,92,39.13,0,0,4,0,1.0,0.0,Opening batsman,Ganesh Mylvaganam,United Arab Emirates,25540
23.0,-,-,-,-,-,-,-,-,23.0,2,541,80,25.76,681,79.44,0,2,51,8,7.0,0.0,Middle-order batsman,Muhammad Usman,United Arab Emirates,974719
11.0,491,383,9,42.55,4.68,54.5,0,0,11.0,2,95,55,13.57,164,57.92,0,1,12,0,5.0,0.0,Bowler,Mohammad Tauqir,United Arab Emirates,25601
6.0,240,233,9,25.88,5.82,26.6,1,0,6.0,0,190,79,31.66,225,84.44,0,2,21,5,2.0,0.0,Allrounder,Mohammad Shahzad,United Arab Emirates,738445
35.0,1782,1635,50,32.7,5.5,35.6,0,1,35.0,10,369,45,18.45,297,124.24,0,0,39,19,6.0,0.0,Bowler,Mohammad Naveed,United Arab Emirates,533862
7.0,12,10,0,-,5,-,0,0,7.0,1,140,59*,23.33,161,86.95,0,1,10,5,0.0,1.0,Middle-order batsman,Mohammad Boota,United Arab Emirates,1125867
4.0,-,-,-,-,-,-,-,-,4.0,0,38,23,9.5,73,52.05,0,0,3,0,0.0,0.0,Middle-order batsman,Mohammad Aslam,United Arab Emirates,25538
5.0,264,257,3,85.66,5.84,88,0,0,5.0,0,82,60,27.33,125,65.6,0,1,11,0,0.0,0.0,Bowler,Nasir Aziz,United Arab Emirates,447290
1.0,36,49,0,-,8.16,-,0,0,1.0,0,1,1,1,6,16.66,0,0,0,0,0.0,0.0,Bowler,Yodhin Punja,United Arab Emirates,796331
13.0,-,-,-,-,-,-,-,-,13.0,2,263,99*,26.3,404,65.09,0,2,22,2,8.0,3.0,Wicketkeeper batsman,Swapnil Patil,United Arab Emirates,447458
8.0,390,352,6,58.66,5.41,65,0,0,8.0,2,6,4,3,21,28.57,0,0,1,0,1.0,0.0,Bowler,Qadeer Ahmed,United Arab Emirates,941959
27.0,1263,988,28,35.28,4.69,45.1,1,1,27.0,0,642,109,23.77,896,71.65,1,1,60,15,12.0,0.0,Top-order batsman,Rohan Mustafa,United Arab Emirates,307808
15.0,12,16,0,-,8,-,0,0,15.0,2,691,121*,53.15,817,84.57,2,4,57,17,6.0,0.0,Top-order batsman,Rameez Shahzad,United Arab Emirates,220519
4.0,-,-,-,-,-,-,-,-,4.0,0,61,28,15.25,73,83.56,0,0,11,1,1.0,0.0,Middle-order batsman,Laxman Sreekumar,United Arab Emirates,937673
1.0,42,33,0,-,4.71,-,0,0,1.0,0,7,7,7,13,53.84,0,0,0,0,0.0,0.0,Bowler,Shadeep Silva,United Arab Emirates,50460
2.0,-,-,-,-,-,-,-,-,2.0,0,16,9,8,29,55.17,0,0,1,0,0.0,0.0,Middle-order batsman,Vikrant Shetty,United Arab Emirates,342182
36.0,106,124,3,41.33,7.01,35.3,0,0,36.0,1,1107,106,31.62,1336,82.85,1,10,111,18,12.0,0.0,Top-order batsman,Shaiman Anwar,United Arab Emirates,43121
2.0,78,37,1,37,2.84,78,0,0,2.0,-,-,-,-,-,-,-,-,-,-,0.0,0.0,Bowler,Shahzad Altaf,United Arab Emirates,25545
5.0,-,-,-,-,-,-,-,-,5.0,0,58,28,14.5,77,75.32,0,0,7,0,1.0,1.0,Middle-order batsman,Saqlain Haider,United Arab Emirates,779973
5.0,60,57,1,57,5.7,60,0,0,5.0,1,84,25*,21,129,65.11,0,0,9,0,2.0,0.0,Batsman,Saqib Ali,United Arab Emirates,42746
1.0,36,23,0,-,3.83,-,0,0,1.0,-,-,-,-,-,-,-,-,-,-,0.0,0.0,Bowler,Salman Farooq,United Arab Emirates,25552
3.0,-,-,-,-,-,-,-,-,3.0,0,43,27,14.33,79,54.43,0,0,5,0,0.0,0.0,Opening batsman,Salman Faris,United Arab Emirates,626111
1.0,12,9,0,-,4.5,-,0,0,1.0,0,3,3,3,7,42.85,0,0,0,0,0.0,0.0,Middle-order batsman,Usman Mushtaq,United Arab Emirates,43515
2.0,108,125,1,125,6.94,108,0,0,2.0,0,20,10,10,30,66.66,0,0,0,1,1.0,0.0,Batsman,Umair Ali,United Arab Emirates,888455
2.0,66,67,0,-,6.09,-,0,0,2.0,0,11,6,5.5,20,55,0,0,1,0,1.0,0.0,Allrounder,Sarel Burger,Namibia,24844
8.0,30,20,0,-,4,-,0,0,8.0,0,151,39,18.87,267,56.55,0,0,19,0,3.0,0.0,Batsman,John Anderson,Ireland,44014
1.0,36,37,0,-,6.16,-,0,0,1.0,-,-,-,-,-,-,-,-,-,-,0.0,0.0,Bowler,Andrew Britton,Ireland,303435
42.0,1560,1134,42,27,4.36,37.1,2,0,42.0,4,666,56,19.58,970,68.65,0,2,69,5,11.0,0.0,Allrounder,Andre Botha,Ireland,44102
55.0,60,68,2,34,6.8,30,0,0,55.0,4,1461,145*,30.43,2016,72.47,3,8,136,16,18.0,0.0,Opening batsman,Andy Balbirnie,Ireland,303423
59.0,1953,1510,63,23.96,4.63,31,1,1,59.0,14,745,71,22.57,1159,64.27,0,2,57,6,18.0,0.0,Bowler,Alex Cusack,Ireland,293983
13.0,564,518,13,39.84,5.51,43.3,0,0,13.0,3,40,22*,20,73,54.79,0,0,6,1,1.0,0.0,Bowler,Peter Connell,Ireland,303349
25.0,1238,1356,34,39.88,6.57,36.4,0,0,25.0,6,35,14,3.5,56,62.5,0,0,3,1,5.0,0.0,Bowler,Peter Chase,Ireland,524845
6.0,6,8,0,-,8,-,0,0,6.0,0,70,28,11.66,126,55.55,0,0,4,1,4.0,0.0,Batsman,Kenny Carroll,Ireland,245287
82.0,4016,3107,89,34.91,4.64,45.1,4,0,82.0,22,535,62*,17.25,765,69.93,0,2,39,8,35.0,0.0,Bowler,George Dockrell,Ireland,348034
38.0,635,525,13,40.38,4.96,48.8,0,0,38.0,4,443,43,14.76,1056,41.95,0,0,38,0,4.0,0.0,Allrounder,Laura Delany,Ireland,418420
1.0,42,60,1,60,8.57,42,0,0,1.0,0,4,4,4,3,133.33,0,0,1,0,0.0,0.0,Bowler,Phil Eaglestone,Ireland,12794
1.0,-,-,-,-,-,-,-,-,1.0,-,-,-,-,-,-,-,-,-,-,0.0,0.0,Middle-order batsman,Valmai Gee,Ireland,406468
3.0,-,-,-,-,-,-,-,-,3.0,0,28,15,9.33,75,37.33,0,0,3,0,0.0,0.0,Opening batsman,James Hall,Ireland,232730
2.0,-,-,-,-,-,-,-,-,2.0,0,56,54,28,72,77.77,0,1,7,1,1.0,0.0,Batsman,Ryan Haire,Ireland,24298
78.0,-,-,-,-,-,-,-,-,78.0,8,2622,160*,38,3630,72.23,6,15,255,25,27.0,0.0,Top-order batsman,Ed Joyce,Ireland,24249
14.0,389,234,10,23.4,3.6,38.9,0,0,14.0,4,74,25*,14.8,102,72.54,0,0,2,0,7.0,0.0,Allrounder,Nigel Jones,Ireland,406308
67.0,2930,2115,66,32.04,4.33,44.3,1,1,67.0,15,743,45*,19.55,785,94.64,0,0,48,23,25.0,0.0,Bowler,Trent Johnston,Ireland,6038
6.0,216,172,1,172,4.77,216,0,0,6.0,0,15,15,15,25,60,0,0,2,0,1.0,0.0,Bowler,Gary Kidd,Ireland,24613
17.0,129,140,1,140,6.51,129,0,0,17.0,1,117,29,9.75,282,41.48,0,0,12,1,9.0,0.0,Middle-order batsman,Shauna Kavanagh,Ireland,418422
17.0,653,705,10,70.5,6.47,65.3,0,0,17.0,1,206,33,13.73,436,47.24,0,0,27,0,1.0,0.0,Allrounder,Gaby Lewis,Ireland,774347
50.0,2571,1940,62,31.29,4.52,41.4,4,0,50.0,9,161,23*,7.31,252,63.88,0,0,16,1,15.0,0.0,Bowler,Tim Murtagh,Ireland,17134
4.0,186,155,5,31,5,37.2,0,0,4.0,2,15,15*,-,11,136.36,0,0,2,0,1.0,0.0,Bowler,Jacob Mulder,Ireland,1005369
64.0,1797,1635,48,34.06,5.45,37.4,2,0,64.0,14,963,96,23.48,1215,79.25,0,3,92,14,19.0,0.0,Allrounder,John Mooney,Ireland,24237
24.0,1242,1189,48,24.77,5.74,25.8,2,1,24.0,3,82,16*,6.83,163,50.3,0,0,5,0,8.0,0.0,Bowler,Barry McCarthy,Ireland,348059
1.0,48,38,0,-,4.75,-,0,0,1.0,1,1,1*,-,1,100,0,0,0,0,0.0,0.0,Bowler,Graeme McCarter,Ireland,348037
8.0,-,-,-,-,-,-,-,-,8.0,1,44,18,11,77,57.14,0,0,3,0,9.0,0.0,Wicketkeeper,Rory McCann,Ireland,463215
5.0,251,332,6,55.33,7.93,41.8,1,0,5.0,0,37,25,7.4,92,40.21,0,0,3,0,0.0,0.0,Bowler,Lara Maritz,Ireland,1026413
37.0,1841,1359,39,34.84,4.42,47.2,0,0,37.0,9,251,79,19.3,337,74.48,0,1,15,5,17.0,0.0,Bowler,Andy McBrine,Ireland,417381
103.0,-,-,-,-,-,-,-,-,103.0,9,2581,109,28.05,3638,70.94,1,18,218,30,90.0,14.0,Wicketkeeper batsman,Niall O'Brien,Ireland,24289
133.0,4089,3575,112,31.91,5.24,36.5,5,0,133.0,16,3262,142,31.06,3686,88.49,2,16,295,78,57.0,0.0,Allrounder,Kevin O'Brien,Ireland,24605
21.0,-,-,-,-,-,-,-,-,21.0,5,185,36,13.21,278,66.54,0,0,15,0,22.0,1.0,Wicketkeeper batsman,Stuart Poynter,Ireland,308294
19.0,-,-,-,-,-,-,-,-,19.0,3,255,78,19.61,412,61.89,0,2,17,7,9.0,0.0,Batsman,Andrew Poynter,Ireland,210279
127.0,-,-,-,-,-,-,-,-,127.0,3,3764,139,31.1,5435,69.25,11,15,394,27,59.0,0.0,Opening batsman,William Porterfield,Ireland,24611
